Assessment Name,Detail URL,Remote Testing,Adaptive/IRT,Test Type,Detail Title,Description,Job Levels,Detail Test Type,Downloads
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,AEBCDP,Global Skills Development Report,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",N/A,"[{'title': 'Sample Report (Development)', 'link': 'https://service.shl.com/docs/Global Skills Development Report International English.pdf', 'language': 'English International'}, {'title': 'Global Skills Development Report (Reskilling) International English', 'link': 'https://service.shl.com/docs/Global Skills Development Report with Reskilling UKE.pdf', 'language': 'English International'}, {'title': 'Sample Report (Development)', 'link': 'https://service.shl.com/docs/Global Skills Development Report US English.pdf', 'language': 'English (USA)'}, {'title': 'Global Skills Development Report (Reskilling) US English', 'link': 'https://service.shl.com/docs/Global Skills Development Report with Reskilling UKE.pdf', 'language': 'English (USA)'}]"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,K,.NET Framework 4.5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact_Sheet-dotnet_framework_4.5.pdf', 'language': 'English (USA)'}]"
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,K,.NET MVC (New),"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/.NET MVC (New).pdf', 'language': 'English (USA)'}]"
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,K,.NET MVVM (New),"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/.NET MVVM (New).pdf', 'language': 'English (USA)'}]"
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,K,.NET WCF (New),"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/.NET WCF (New).pdf', 'language': 'English (USA)'}]"
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,K,.NET WPF (New),"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/.NET WPF (New).pdf', 'language': 'English (USA)'}]"
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,K,.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/.NET XAML (New).pdf', 'language': 'English (USA)'}]"
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,K,Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Accounts Payable (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Accounts Payable (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,S,Accounts Payable Simulation (New),Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Accounts Payable Simulation (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Accounts Payable Simulation (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,K,Accounts Receivable (New),Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Accounts Receivable (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Accounts Receivable (New) Sample Report.pdf', 'language': 'English (USA)'}]"
